iter	Logloss	Accuracy	Recall	Precision	F1
0	0.6848836642	0.5604166667	0.5762295082	0.5664786463	0.5713124746
1	0.6803456561	0.57	0.6459016393	0.5677233429	0.6042944785
2	0.6711403562	0.5854166667	0.6442622951	0.583518931	0.6123880016
3	0.6676288554	0.6029166667	0.6770491803	0.5963898917	0.6341650672
4	0.6609565532	0.6191666667	0.6844262295	0.612170088	0.6462848297
5	0.6577108894	0.6233333333	0.6762295082	0.6184407796	0.646045419
6	0.6514017416	0.6366666667	0.6795081967	0.6328244275	0.6553359684
7	0.647866469	0.63625	0.6721311475	0.6341840681	0.6526064465
8	0.6412591581	0.6458333333	0.6918032787	0.6403641882	0.6650906225
9	0.6366756383	0.6470833333	0.6803278689	0.6449106449	0.6621459912
10	0.6324660813	0.655	0.6868852459	0.6526479751	0.6693290735
11	0.6298309966	0.655	0.6852459016	0.653125	0.6688
12	0.6264899672	0.66375	0.6918032787	0.6619607843	0.6765531062
13	0.6218409063	0.6741666667	0.6983606557	0.672985782	0.6854384553
14	0.6171326585	0.6783333333	0.7016393443	0.6772151899	0.6892109501
15	0.6125981334	0.68125	0.7	0.6815642458	0.6906591185
16	0.6095390693	0.6825	0.7057377049	0.6811708861	0.693236715
17	0.6067951617	0.6833333333	0.6975409836	0.6851851852	0.6913078798
18	0.6047358359	0.68625	0.7032786885	0.6869495596	0.695018226
19	0.601294311	0.6916666667	0.7057377049	0.693236715	0.6994313566
20	0.5957923666	0.6966666667	0.7155737705	0.6961722488	0.7057396928
21	0.5926010518	0.6970833333	0.7163934426	0.6964143426	0.7062626263
22	0.5910540771	0.7004166667	0.7204918033	0.6992840095	0.7097295115
23	0.5869404774	0.7066666667	0.7262295082	0.7054140127	0.7156704362
24	0.5844598158	0.715	0.7336065574	0.7137161085	0.7235246564
25	0.5805463238	0.7104166667	0.7278688525	0.7098321343	0.7187373533
26	0.5758235509	0.7154166667	0.7352459016	0.7136038186	0.7242632216
27	0.5718769959	0.7220833333	0.7336065574	0.7235246564	0.7285307285
28	0.5691043039	0.72	0.7360655738	0.7195512821	0.7277147488
29	0.5653393087	0.7258333333	0.7409836066	0.7255216693	0.7331711273
30	0.5635490641	0.7304166667	0.7393442623	0.7327376117	0.7360261118
31	0.5594032	0.7345833333	0.7409836066	0.7379591837	0.7394683027
32	0.5545283558	0.7366666667	0.7418032787	0.740589198	0.7411957412
33	0.5506363979	0.7354166667	0.7426229508	0.7383863081	0.7404985697
34	0.5472302023	0.7395833333	0.7483606557	0.7416734362	0.74500204
35	0.5442745053	0.7416666667	0.7532786885	0.7423263328	0.7477624085
36	0.5422795191	0.7445833333	0.7508196721	0.747755102	0.7492842536
37	0.540198489	0.74375	0.7491803279	0.7473426002	0.7482603357
38	0.5372849647	0.7445833333	0.7532786885	0.7465475223	0.7498980008
39	0.5355128765	0.7416666667	0.7524590164	0.7427184466	0.7475570033
40	0.5337008666	0.7483333333	0.7581967213	0.7495948136	0.7538712306
41	0.5325140209	0.7495833333	0.7557377049	0.7526530612	0.754192229
42	0.5303593805	0.7554166667	0.7614754098	0.7583673469	0.7599182004
43	0.5274631338	0.7541666667	0.762295082	0.756097561	0.7591836735
44	0.5249194223	0.7591666667	0.7639344262	0.7626841244	0.7633087633
45	0.5215518787	0.76875	0.7745901639	0.7714285714	0.773006135
46	0.5201425901	0.77125	0.7803278689	0.7721005677	0.7761924174
47	0.5165389397	0.7725	0.7827868852	0.7726537217	0.7776872964
48	0.5146522143	0.7770833333	0.7893442623	0.7759871072	0.7826086957
49	0.5122291901	0.7770833333	0.7860655738	0.7777777778	0.7818997146
50	0.5090745971	0.7816666667	0.7901639344	0.7824675325	0.7862969005
51	0.5071788991	0.78375	0.7893442623	0.786122449	0.7877300613
52	0.5040062745	0.78375	0.7893442623	0.786122449	0.7877300613
53	0.501852654	0.785	0.7885245902	0.7885245902	0.7885245902
54	0.4993670548	0.7833333333	0.7909836066	0.7845528455	0.787755102
55	0.4965761308	0.7845833333	0.7893442623	0.7874080131	0.7883749488
56	0.4945564367	0.7866666667	0.7909836066	0.7896890344	0.7903357903
57	0.4912074611	0.79375	0.7983606557	0.7964022895	0.7973802702
58	0.4878239668	0.7929166667	0.793442623	0.7980214345	0.7957254418
59	0.4849353869	0.7954166667	0.8	0.7980376124	0.7990176013
60	0.4826118208	0.7958333333	0.8016393443	0.7977161501	0.7996729354
61	0.4805137695	0.7966666667	0.8032786885	0.7980456026	0.8006535948
62	0.4778824428	0.8	0.806557377	0.8013029316	0.8039215686
63	0.4743250358	0.8025	0.8139344262	0.8008064516	0.8073170732
64	0.4714736503	0.8075	0.8163934426	0.8071312804	0.8117359413
65	0.4688610782	0.8091666667	0.8180327869	0.8087520259	0.8133659332
66	0.4656619778	0.8108333333	0.818852459	0.8108766234	0.8148450245
67	0.4631962266	0.815	0.8213114754	0.8159609121	0.818627451
68	0.4597499645	0.8145833333	0.818852459	0.8168438267	0.8178469095
69	0.4568397381	0.8191666667	0.8221311475	0.8221311475	0.8221311475
70	0.4544943155	0.8191666667	0.8270491803	0.8189935065	0.8230016313
71	0.4520012434	0.8183333333	0.8245901639	0.819218241	0.8218954248
72	0.4486774683	0.8220833333	0.8237704918	0.8258011504	0.8247845712
73	0.4462439232	0.8270833333	0.8270491803	0.8318219291	0.8294286889
74	0.4436631356	0.8275	0.8278688525	0.8319604613	0.8299096138
75	0.4397767458	0.8316666667	0.8336065574	0.8349753695	0.834290402
76	0.4361635108	0.835	0.8344262295	0.8399339934	0.8371710526
77	0.4337967769	0.8370833333	0.8352459016	0.8428453267	0.8390284068
78	0.4320650754	0.8341666667	0.8385245902	0.8357843137	0.8371522095
79	0.4292426036	0.83375	0.8336065574	0.8384171476	0.8360049322
80	0.4250496633	0.8370833333	0.8393442623	0.8400328138	0.8396883969
81	0.4224978304	0.8420833333	0.843442623	0.8455217749	0.8444809192
82	0.42082711	0.8441666667	0.8459016393	0.8472906404	0.8465955701
83	0.4189361598	0.8475	0.8549180328	0.8465909091	0.8507340946
84	0.4157602266	0.84625	0.8524590164	0.8462164361	0.8493262556
85	0.4136412945	0.8491666667	0.8549180328	0.8493485342	0.852124183
86	0.4121114527	0.8491666667	0.856557377	0.8482142857	0.852365416
87	0.410495373	0.8525	0.8590163934	0.8520325203	0.8555102041
88	0.4077406576	0.85	0.856557377	0.8495934959	0.8530612245
89	0.4053801814	0.8525	0.8598360656	0.851461039	0.8556280587
90	0.4040135404	0.8516666667	0.8549180328	0.8535188216	0.8542178542
91	0.4035331929	0.855	0.8573770492	0.8573770492	0.8573770492
92	0.4013550931	0.8575	0.8614754098	0.8586601307	0.8600654664
93	0.3991868021	0.8575	0.8581967213	0.8610197368	0.8596059113
94	0.3972387936	0.8591666667	0.8639344262	0.8597063622	0.8618152085
