iter	Passed	Remaining
0	2	203392
1	4	200579
2	5	196866
3	7	194684
4	9	193039
5	11	191353
6	13	190789
7	15	188896
8	17	190127
9	18	189642
10	21	193682
11	23	195903
12	25	197110
13	27	197593
14	29	198277
15	31	199202
16	34	200638
17	36	201863
18	38	203557
19	40	204929
20	43	206848
21	45	208184
22	48	210545
23	50	211601
24	53	212720
25	55	213244
26	57	214401
27	60	215744
28	63	217630
29	65	218093
30	67	219006
31	70	219519
32	72	219945
33	75	220621
34	77	220864
35	79	220984
36	82	221776
37	84	222183
38	86	222372
39	89	222607
40	91	222910
41	93	223101
42	95	223028
43	98	223387
44	100	223488
45	102	223612
46	105	223757
47	107	224012
48	109	224272
49	112	224521
50	114	224779
51	117	225104
52	119	225241
53	121	225370
54	124	226465
55	127	226808
56	129	226976
57	131	227342
58	134	227439
59	136	227467
60	139	227773
61	141	228355
62	144	228839
63	146	229282
64	149	229768
65	151	230103
66	154	230249
67	156	230676
68	159	230761
69	161	231125
70	164	231148
71	166	231223
72	168	231136
73	171	231206
74	175	234344
75	179	236103
76	183	238355
77	186	238480
78	189	239289
79	192	240328
80	194	240260
81	198	241574
82	200	241675
83	203	241715
84	207	244462
85	212	246587
86	216	248198
87	218	248091
88	221	248161
89	223	248136
90	225	247867
91	227	247426
92	229	246948
93	232	246683
94	234	246565
95	238	247872
96	241	248792
97	245	250005
98	250	253069
99	257	256743
100	258	256103
101	260	255491
102	262	254826
103	264	254219
104	267	254707
105	269	254266
106	271	253703
107	273	253278
108	275	252820
109	279	253416
110	281	253220
111	285	254213
112	287	254326
113	290	254419
114	293	254529
115	295	254774
116	299	255624
117	302	256046
118	305	256374
119	309	257350
120	311	257441
121	313	256985
122	316	256655
123	318	256261
124	320	255697
125	321	255007
126	323	254769
127	326	254598
128	328	254523
129	331	254374
130	333	254257
131	335	254116
132	338	254121
133	341	254172
134	343	254055
135	345	253879
136	348	253765
137	350	253615
138	352	253500
139	355	253471
140	357	253504
141	360	253436
142	362	253363
143	365	253494
144	368	253569
145	370	253650
146	373	253809
147	376	253881
148	378	253802
149	381	253800
150	383	253792
151	386	253652
152	388	253552
153	390	253436
154	393	253391
155	395	253155
156	397	253009
157	400	252811
158	402	252719
159	404	252639
160	407	252546
161	409	252428
162	411	252326
163	414	252343
164	417	252522
165	419	252476
166	422	252487
167	424	252467
168	427	252429
169	429	252506
170	432	252488
171	435	252487
172	437	252547
173	440	252538
174	442	252627
175	445	252592
176	447	252534
177	450	252454
178	452	252322
179	454	252169
180	456	251997
181	459	251914
182	462	252041
183	464	252105
184	467	252176
185	470	252341
186	472	252339
187	475	252355
188	477	252365
189	480	252353
190	484	253087
191	486	252961
192	489	253021
193	491	252929
194	493	252792
195	496	252642
196	498	252610
197	500	252354
198	502	252216
199	505	252114
200	507	252063
201	510	252172
202	512	252182
203	515	252184
204	518	252203
205	520	252209
206	523	252195
207	525	252236
208	528	252263
209	530	252255
210	533	252189
211	535	252129
212	538	252104
213	540	252171
214	543	252346
215	546	252363
216	548	252287
217	551	252258
